1	cms	placeholder
2	cms	page
3	djangocms_text_ckeditor	text
4	filer	folder
5	filer	folderpermission
6	filer	file
7	filer	clipboard
8	filer	clipboarditem
9	filer	image
10	filer	thumbnailoption
11	easy_thumbnails	source
12	easy_thumbnails	thumbnail
13	easy_thumbnails	thumbnaildimensions
14	reversion	revision
15	reversion	version
16	sites	site
17	cms	usersettings
18	cms	globalpagepermission
19	cms	pagepermission
20	cms	pageuser
21	cms	pageusergroup
22	cms	cmsplugin
23	cms	title
24	cms	placeholderreference
25	cms	staticplaceholder
26	cms	aliaspluginmodel
27	cms	urlconfrevision
28	menus	cachekey
29	djangocms_link	link
30	djangocms_file	file
31	djangocms_file	folder
32	djangocms_picture	picture
33	djangocms_video	videoplayer
34	djangocms_video	videosource
35	djangocms_video	videotrack
36	djangocms_googlemap	googlemap
37	djangocms_googlemap	googlemapmarker
38	djangocms_googlemap	googlemaproute
39	djangocms_snippet	snippet
40	djangocms_snippet	snippetptr
41	djangocms_style	style
42	djangocms_column	multicolumns
43	djangocms_column	column
44	djangocms_youtube	youtube
45	aldryn_mailchimp	subscriptionplugin
46	aldryn_mailchimp	category
47	aldryn_mailchimp	keyword
48	aldryn_mailchimp	campaign
49	aldryn_mailchimp	campaignarchiveplugin
50	aldryn_mailchimp	selectedcampaignsplugin
51	aldryn_categories	categorytranslation
52	aldryn_categories	category
53	aldryn_newsblog	newsblogconfigtranslation
54	aldryn_newsblog	newsblogconfig
55	aldryn_newsblog	articletranslation
56	aldryn_newsblog	article
57	aldryn_newsblog	newsblogarchiveplugin
58	aldryn_newsblog	newsblogarticlesearchplugin
59	aldryn_newsblog	newsblogauthorsplugin
60	aldryn_newsblog	newsblogcategoriesplugin
61	aldryn_newsblog	newsblogfeaturedarticlesplugin
62	aldryn_newsblog	newsbloglatestarticlesplugin
63	aldryn_newsblog	newsblogrelatedplugin
64	aldryn_newsblog	newsblogtagsplugin
65	aldryn_people	grouptranslation
66	aldryn_people	group
67	aldryn_people	persontranslation
68	aldryn_people	person
69	aldryn_people	peopleplugin
70	aldryn_gallery	galleryplugin
71	aldryn_gallery	slideplugin
72	aldryn_gallery	slidefolderplugin
73	taggit	tag
74	taggit	taggeditem
75	admin	logentry
76	auth	permission
77	auth	group
78	auth	user
79	contenttypes	contenttype
80	sessions	session
82	djangocms_forms	form
83	djangocms_forms	formdefinition
84	djangocms_forms	formfield
85	djangocms_forms	formsubmission
86	aldryn_forms	formplugin
87	aldryn_forms	fieldsetplugin
88	aldryn_forms	fieldplugin
89	aldryn_forms	textareafieldplugin
90	aldryn_forms	emailfieldplugin
91	aldryn_forms	fileuploadfieldplugin
92	aldryn_forms	imageuploadfieldplugin
93	aldryn_forms	option
94	aldryn_forms	formbuttonplugin
95	aldryn_forms	formsubmission
96	captcha	captchastore
97	email_notifications	emailnotification
98	email_notifications	emailnotificationformplugin
99	aldryn_background_image	backgroundimage
\.


