57	2017-03-19 21:17:34.565-07	15	Music	2		2	1
58	2017-03-19 21:17:49.33-07	8	Graffiti	2		2	1
59	2017-03-19 21:20:53.767-07	32		3		44	1
60	2017-03-19 21:32:58.611-07	35	https://youtu.be/6EmQ8hRIH9w	3		33	1
61	2017-03-19 23:10:34.084-07	8	Graffiti	2		2	1
62	2017-03-19 23:23:55.149-07	27	aldryn_newsblog_graffiti featured article	3		61	1
63	2017-03-19 23:35:51.307-07	39	div	3		41	1
64	2017-03-19 23:36:13.304-07	43		3		44	1
65	2017-03-19 23:36:32.383-07	41	aldryn_newsblog_graffiti featured article	3		61	1
66	2017-03-20 09:06:18.357-07	8	Graffiti	2		2	1
67	2017-03-20 11:05:54.903-07	26	aldryn_newsblog_news featured article	3		61	1
68	2017-03-20 11:07:16.012-07	65	div	3		41	1
69	2017-03-20 11:23:16.722-07	69	div	3		41	1
70	2017-03-20 12:39:45.54-07	75	Copyright lostkawz 2017	3		3	1
71	2017-03-20 12:43:00.703-07	76	div	3		41	1
72	2017-03-20 12:53:25.956-07	3	newz	2		2	1
73	2017-03-20 13:08:46.667-07	78	a	3		41	1
74	2017-03-20 13:17:55.236-07	3	newz	2		2	1
75	2017-03-20 13:20:37.962-07	110	p	3		41	1
76	2017-03-20 13:30:11.387-07	3	newz	2		2	1
77	2017-03-20 20:52:53.792-07	68	aldryn_newsblog_music latest articles: 2	3		62	1
78	2017-03-20 21:00:13.696-07	7	No	2	Changed is_published, is_featured and tags. Article: 'No' ('EN' translation)	56	1
79	2017-03-20 21:01:10.347-07	44	aldryn_newsblog_music featured article	3		61	1
80	2017-03-20 21:04:05.026-07	8	Graffiti	2		2	1
81	2017-03-20 21:08:03.552-07	9	WE	3		56	1
82	2017-03-20 21:08:03.559-07	7	No	3		56	1
83	2017-03-20 21:10:41.212-07	206	206	3		72	1
84	2017-03-20 21:25:23.53-07	210	Jurassic-5.jpg	3		32	1
85	2017-03-20 21:45:50.465-07	7	NewsBlog / aldryn_newsblog_gallery	1	Initial version of NewsBlogConfig: 'NewsBlog / aldryn_newsblog_gallery'. ('EN' translation)	54	1
86	2017-03-20 21:46:51.04-07	8	NewsBlog / aldryn_newsblog_about	1	Initial version of NewsBlogConfig: 'NewsBlog / aldryn_newsblog_about'. ('EN' translation)	54	1
87	2017-03-20 21:48:51.885-07	9	NewsBlog / aldryn_newsblog_events	1	Initial version of NewsBlogConfig: 'NewsBlog / aldryn_newsblog_events'. ('EN' translation)	54	1
88	2017-03-20 21:51:48.043-07	8	Graffiti	2		2	1
89	2017-03-20 21:55:21.328-07	9	Gallery	2	Changed application_urls, application_namespace, application_configs and xframe_options.	2	1
90	2017-03-20 21:55:51.117-07	7	Events	2	Changed template, application_urls, application_namespace, application_configs and xframe_options.	2	1
91	2017-03-20 22:00:14.469-07	7	Events	2		2	1
92	2017-03-20 22:00:18.848-07	7	Events	2		2	1
93	2017-03-20 22:10:26.938-07	3	newz	2		2	1
94	2017-03-20 22:11:08.682-07	10	About	2	Changed application_urls, application_namespace and xframe_options.	2	1
95	2017-03-20 22:15:39.519-07	10	About	2		2	1
96	2017-03-20 22:18:42.57-07	10	About	2	Changed application_namespace, application_configs and xframe_options.	2	1
97	2017-03-20 22:23:43.349-07	2	test2	3		56	1
98	2017-03-20 22:23:43.357-07	1	test1	3		56	1
99	2017-03-21 08:58:21.643-07	220	af8de6417cb2febc2b9f	3		45	1
100	2017-03-21 09:18:40.592-07	12	Bass Coast 2015 Preview	2	Changed is_published, is_featured, featured_image and tags. Article: 'Bass Coast 2015 Preview' ('EN' translation)	56	1
101	2017-03-21 09:24:23.944-07	8	two	3		56	1
102	2017-03-21 09:24:23.951-07	6	yes	3		56	1
103	2017-03-21 09:24:34.198-07	3	newz	2		2	1
104	2017-03-21 09:28:01.377-07	47	Bass-Coast-main-stage1-e1435691484184.jpg	3		32	1
105	2017-03-21 09:28:23.601-07	221	aef4aed9feaf8de6417c	3		45	1
106	2017-03-21 09:28:41.101-07	48		3		44	1
107	2017-03-21 09:31:13.697-07	229	Jurassic-5.jpg	3		32	1
108	2017-03-21 09:37:56.425-07	13	Nsub Magazine Feature	2	Changed is_published, is_featured, featured_image and tags. Article: 'Nsub Magazine Feature' ('EN' translation)	56	1
109	2017-03-21 09:50:11.124-07	3	newz	2		2	1
110	2017-03-21 10:01:45.03-07	17	Contact	2	Changed application_urls and xframe_options.	2	1
111	2017-03-21 10:02:15.301-07	17	Contact	2		2	1
112	2017-03-21 10:03:04.805-07	17	Contact	2	Changed xframe_options.	2	1
113	2017-03-21 10:05:21.619-07	3	newz	2		2	1
114	2017-03-21 10:07:58.188-07	10	NewsBlog / forms	1	Initial version of NewsBlogConfig: 'NewsBlog / forms'. ('EN' translation)	54	1
115	2017-03-21 10:08:53.741-07	10	NewsBlog / forms	2	No fields changed. NewsBlogConfig: 'NewsBlog / forms' ('EN' translation)	54	1
116	2017-03-21 10:09:53.296-07	17	Contact	2	Changed application_urls, application_namespace, application_configs and xframe_options.	2	1
117	2017-03-21 10:15:00.823-07	17	Contact	2		2	1
118	2017-03-21 10:17:35.701-07	17	Contact	3		2	1
119	2017-03-21 10:19:37.88-07	19	contact	2	Changed application_urls and xframe_options.	2	1
120	2017-03-21 10:19:45.85-07	19	contact	2		2	1
121	2017-03-21 10:25:32.919-07	19	contact	2	Changed xframe_options.	2	1
122	2017-03-21 10:37:07.652-07	19	contact	2		2	1
123	2017-03-21 10:37:58.84-07	10	NewsBlog / forms	3		54	1
124	2017-03-21 10:40:27.793-07	19	contact	2	Changed xframe_options.	2	1
125	2017-03-21 10:44:20.783-07	19	contact	2	Changed xframe_options.	2	1
126	2017-03-21 10:50:45.657-07	19	contact	2		2	1
127	2017-03-21 10:56:06.687-07	19	contact	2		2	1
128	2017-03-21 12:29:27.877-07	19	contact	2		2	1
129	2017-03-21 19:05:32.381-07	19	contact	2	Changed application_urls and xframe_options.	2	1
130	2017-03-21 19:06:09.771-07	19	contact	2	Changed application_urls and xframe_options.	2	1
131	2017-03-21 19:27:03.072-07	19	contact	2	Changed application_urls and xframe_options.	2	1
132	2017-03-21 19:28:44.471-07	3	newz	2	Changed application_urls, application_namespace and xframe_options.	2	1
133	2017-03-21 19:31:15.294-07	11	west	2	Changed is_published, is_featured and tags. Article: 'west' ('EN' translation)	56	1
134	2017-03-21 19:37:55.404-07	3	newz	2	Changed application_urls, application_namespace, application_configs and xframe_options.	2	1
135	2017-03-21 19:38:09.599-07	3	newz	2		2	1
136	2017-03-21 19:45:44.732-07	19	contact	2	Changed redirect, application_urls and xframe_options.	2	1
137	2017-03-21 19:46:25.294-07	19	contact	2	Changed redirect, application_urls and xframe_options.	2	1
138	2017-03-21 20:01:07.772-07	19	contact	2	Changed application_urls, application_namespace, application_configs and xframe_options.	2	1
139	2017-03-21 20:19:18.816-07	19	contact	2	Changed application_urls, application_namespace and xframe_options.	2	1
144	2017-03-21 20:42:36.25-07	253	contact	3		86	1
146	2017-03-21 20:43:06.567-07	19	contact	2	Changed application_urls and xframe_options.	2	1
148	2017-03-21 20:47:24.537-07	10	About	2		2	1
153	2017-03-21 21:24:19.287-07	288	contact	3		86	1
156	2017-03-21 21:29:58.123-07	19	contact	2	Changed application_urls and xframe_options.	2	1
161	2017-03-21 21:34:17.795-07	19	contact	2	Changed application_urls and xframe_options.	2	1
169	2017-03-21 21:42:52.224-07	19	contact	2	Changed xframe_options.	2	1
172	2017-03-21 21:44:11.635-07	66	aldryn_newsblog_graffiti featured articles: 3	3		61	1
177	2017-03-21 21:56:28.83-07	3	newz	2		2	1
181	2017-03-21 22:22:31.841-07	19	contact	3		2	1
182	2017-03-21 22:24:14.255-07	21	contact	1	Added.	2	1
183	2017-03-21 22:24:52.835-07	21	contact	2	Changed application_urls and xframe_options.	2	1
184	2017-03-21 22:27:38.212-07	21	contact	2		2	1
185	2017-03-21 22:28:24.825-07	21	contact	2	Changed redirect and xframe_options.	2	1
186	2017-03-21 22:29:00.791-07	21	contact	3		2	1
187	2017-03-21 22:41:15.158-07	23	contact	2	Changed application_urls and xframe_options.	2	1
188	2017-03-21 22:41:28.484-07	23	contact	2		2	1
189	2017-03-22 06:27:06.586-07	354	subject	3		88	1
190	2017-03-22 06:29:46.999-07	23	contact	2		2	1
191	2017-03-22 06:38:21.081-07	366	nsub-5_amuse-126-1024x656.png	3		32	1
192	2017-03-22 06:38:41.329-07	23	contact	2		2	1
193	2017-03-22 07:12:36.367-07	23	contact	2		2	1
194	2017-03-22 07:17:40.672-07	392	Bass-Coast-main-stage1-e1435691484184.jpg	3		32	1
195	2017-03-22 07:26:24.749-07	365	div	3		41	1
196	2017-03-22 07:26:41.641-07	379	div	3		41	1
197	2017-03-22 07:27:38.715-07	401	div	3		41	1
198	2017-03-22 07:29:01.179-07	23	contact	2		2	1
199	2017-03-22 09:08:11.875-07	23	contact	2		2	1
200	2017-03-22 09:27:31.262-07	416	div	3		41	1
201	2017-03-22 11:07:00.904-07	23	contact	2		2	1
202	2017-03-22 11:09:48.676-07	355	div	3		41	1
203	2017-03-22 11:14:33.138-07	286	Issue-4_dojillo-1024x659.png	3		32	1
204	2017-03-22 11:15:36.051-07	472	div	3		41	1
205	2017-03-22 11:16:38.626-07	431	div	3		99	1
206	2017-03-22 11:20:32.551-07	3	newz	2		2	1
207	2017-03-22 11:23:02.56-07	3	newz	2		2	1
208	2017-03-22 11:23:28.077-07	3	newz	2		2	1
209	2017-03-22 17:24:12.988-07	9	Gallery	2		2	1
210	2017-03-22 18:44:20.697-07	537	div	3		41	1
211	2017-03-22 18:47:29.5-07	9	Gallery	2		2	1
212	2017-03-22 22:08:23.337-07	207	div	3		41	1
213	2017-03-22 22:08:43.909-07	209	div	3		41	1
214	2017-03-22 22:35:19.728-07	536	536	3		72	1
215	2017-03-24 09:15:36.441-07	9	Gallery	2		2	1
216	2017-03-24 09:24:14.22-07	1	test video	2	No fields changed.	39	1
217	2017-03-24 09:24:53.076-07	546	test video	3		40	1
218	2017-03-24 09:34:36.783-07	547	test video	3		40	1
