57	default	2017-03-24 20:40:11.909-07	Changed pagination_pages_start. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_news' ('EN' translation)	1
58	default	2017-03-24 20:41:15.163-07	Changed pagination_pages_start and pagination_pages_visible. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_news' ('EN' translation)	1
59	default	2017-03-24 21:19:00.961-07	Moved plugins to newsblog_detail_bottom	1
60	default	2017-03-24 21:19:01.181-07	Moved plugins to newsblog_detail_bottom	1
61	default	2017-03-24 21:19:01.381-07	Moved plugins to newsblog_detail_bottom	1
62	default	2017-03-24 21:19:01.545-07	Moved plugins to newsblog_detail_bottom	1
63	default	2017-03-24 21:32:05.635-07	Moved plugins to newsblog_article_content	1
64	default	2017-03-24 21:32:05.807-07	Moved plugins to newsblog_article_content	1
65	default	2017-03-24 21:32:06.011-07	Moved plugins to newsblog_article_content	1
66	default	2017-03-24 21:32:06.175-07	Moved plugins to newsblog_article_content	1
67	default	2017-03-24 21:50:54.182-07	Moved plugins to newsblog_article_content	1
68	default	2017-03-24 21:51:43.714-07	Deleted plugin #605: this gallery	1
69	default	2017-03-24 21:53:15.975-07	Initial version.	1
70	default	2017-03-24 21:53:48.118-07	Added plugin #606: Style: Standard, Engine: Fade, Timeout: 5000, Duration: 300, Shuffle Slides: False	1
71	default	2017-03-24 21:54:09.141-07	Added plugin #607: 607	1
72	default	2017-03-24 21:55:57.91-07	Changed featured_image and tags. Article: 'another' ('EN' translation)	1
73	default	2017-03-24 21:59:43.406-07	Changed pagination_pages_visible. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_gallery' ('EN' translation)	1
74	default	2017-03-24 21:59:43.718-07	No fields changed. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_gallery' ('EN' translation)	1
75	default	2017-03-24 22:15:03.103-07	Changed pagination_pages_start. NewsBlogConfig: 'NewsBlog / aldryn_newsblog_gallery' ('EN' translation)	1
76	default	2017-03-25 08:04:41.242-07	Initial version.	1
77	default	2017-03-25 08:07:35.68-07	Edited plugin #608: In a far-off...	1
78	default	2017-03-25 08:09:52.938-07	Added plugin #609: Outlook-Festival-credit-Dan-Medhurst-3-e1433556281841.jpg	1
79	default	2017-03-25 08:12:53.954-07	Added plugin #610: Outlook-Festival-2014-Dan-Medhurst-5836.jpg	1
80	default	2017-03-25 08:15:12.278-07	Added plugin #611: outlook festival	1
81	default	2017-03-25 08:15:21.703-07	Edited plugin #608: In a far-off...	1
82	default	2017-03-25 08:21:12.074-07	Added plugin #612: Outlook-Festival-credit-Dan-Medhurst-4.jpg	1
83	default	2017-03-25 08:21:18.059-07	Edited plugin #608: In a far-off...	1
84	default	2017-03-25 08:26:57.402-07	Changed is_published, is_featured, featured_image and tags. Article: 'Outlook 2015' ('EN' translation)	1
85	default	2017-03-25 08:31:15.719-07	Edited plugin #611: outlook festival	1
