150	Can add campaign archive plugin	49	add_campaignarchiveplugin
151	Can change campaign archive plugin	49	change_campaignarchiveplugin
152	Can delete campaign archive plugin	49	delete_campaignarchiveplugin
153	Can add selected campaigns plugin	50	add_selectedcampaignsplugin
154	Can change selected campaigns plugin	50	change_selectedcampaignsplugin
155	Can delete selected campaigns plugin	50	delete_selectedcampaignsplugin
156	Can add category	52	add_category
157	Can change category	52	change_category
158	Can delete category	52	delete_category
159	Can add application configuration	54	add_newsblogconfig
160	Can change application configuration	54	change_newsblogconfig
161	Can delete application configuration	54	delete_newsblogconfig
162	Can add article	56	add_article
163	Can change article	56	change_article
164	Can delete article	56	delete_article
165	Can add news blog archive plugin	57	add_newsblogarchiveplugin
166	Can change news blog archive plugin	57	change_newsblogarchiveplugin
167	Can delete news blog archive plugin	57	delete_newsblogarchiveplugin
168	Can add news blog article search plugin	58	add_newsblogarticlesearchplugin
169	Can change news blog article search plugin	58	change_newsblogarticlesearchplugin
170	Can delete news blog article search plugin	58	delete_newsblogarticlesearchplugin
171	Can add news blog authors plugin	59	add_newsblogauthorsplugin
172	Can change news blog authors plugin	59	change_newsblogauthorsplugin
173	Can delete news blog authors plugin	59	delete_newsblogauthorsplugin
174	Can add news blog categories plugin	60	add_newsblogcategoriesplugin
175	Can change news blog categories plugin	60	change_newsblogcategoriesplugin
176	Can delete news blog categories plugin	60	delete_newsblogcategoriesplugin
177	Can add news blog featured articles plugin	61	add_newsblogfeaturedarticlesplugin
178	Can change news blog featured articles plugin	61	change_newsblogfeaturedarticlesplugin
179	Can delete news blog featured articles plugin	61	delete_newsblogfeaturedarticlesplugin
180	Can add news blog latest articles plugin	62	add_newsbloglatestarticlesplugin
181	Can change news blog latest articles plugin	62	change_newsbloglatestarticlesplugin
182	Can delete news blog latest articles plugin	62	delete_newsbloglatestarticlesplugin
183	Can add news blog related plugin	63	add_newsblogrelatedplugin
184	Can change news blog related plugin	63	change_newsblogrelatedplugin
185	Can delete news blog related plugin	63	delete_newsblogrelatedplugin
186	Can add news blog tags plugin	64	add_newsblogtagsplugin
