29	2017-03-25 13:01:26-07	t	t	4	1	155	60	1
31	2017-03-25 13:12:07-07	t	t	4	1	157	70	1
12	2017-03-21 09:17:25-07	t	t	5	1	109	3	1
30	2017-03-25 13:08:41-07	t	t	4	1	156	72	1
13	2017-03-20 17:42:46-07	t	t	4	1	110	8	1
15	2017-03-24 14:26:59-07	t	f	7	1	141	13	1
14	2017-03-24 12:45:29-07	t	f	7	1	139	3	1
37	2017-03-28 07:31:40-07	t	t	6	1	185	81	1
18	2017-03-25 08:04:40-07	t	t	9	1	144	21	1
24	2017-03-25 10:17:33-07	t	t	5	1	150	1	1
35	2017-03-26 10:31:35-07	t	t	5	1	161	54	1
33	2017-03-25 14:05:17-07	t	t	4	1	159	8	1
32	2017-03-25 13:52:37-07	t	t	4	1	158	73	1
28	2017-03-28 08:24:02-07	t	t	6	1	154	51	1
26	2017-03-28 08:03:27-07	t	t	6	1	152	47	1
21	2017-03-28 08:04:16-07	t	t	9	1	147	28	1
19	2017-03-25 08:50:12-07	t	t	9	1	145	3	1
27	2017-03-28 08:18:31-07	t	t	6	1	153	50	1
38	2017-03-28 07:47:55-07	t	t	6	1	186	82	1
36	2017-03-28 08:16:34-07	t	t	9	1	169	55	1
16	2017-03-24 16:39:02-07	t	f	7	1	142	8	1
17	2017-03-24 21:53:15-07	t	f	7	1	143	15	1
34	2017-03-26 10:00:50-07	t	t	5	1	160	52	1
25	2017-03-25 10:38:18-07	t	t	5	1	151	44	1
\.


