2	3	12
3	5	13
6	8	62
7	12	63
8	15	75
9	16	76
10	8	78
11	3	79
12	5	80
13	12	81
14	15	82
15	13	83
16	13	84
17	7	107
18	7	108
27	10	126
28	10	127
29	11	128
30	11	129
31	23	130
32	23	131
33	24	132
34	24	133
35	9	134
36	9	135
37	14	136
38	14	137
39	16	138
40	3	162
41	7	163
42	5	164
46	13	168
49	3	172
50	7	173
52	5	175
53	29	176
54	29	177
55	29	178
56	8	179
57	15	180
58	29	181
59	15	182
60	8	183
61	3	184
62	10	187
63	29	188
64	3	189
65	10	190
66	10	191
67	8	192
68	10	193
69	15	194
70	16	195
71	16	196
72	16	197
73	30	198
74	30	199
75	30	200
76	30	201
77	30	202
78	12	203
79	12	204
80	12	205
81	23	206
82	23	207
83	5	208
84	5	209
85	11	210
86	11	211
87	11	212
88	11	213
\.


